Org Number,Legal Name,SNI Code,Region,Classification,Legal Form,Founded Year,Personnel Costs,Board Total,Board Women,Board Men,Total Funding,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,turnover_per_employee_2024,sni_2digit,division_interval,section_code,section_desc,time_span,log_turnover_2024,log_employees_2024,log_turnover_per_employee_2024,firm_age_2024,board_women_share,log_personnel_costs,log_total_funding
ORG_03610,Company_03610,10890,Skåne län,Startup,aktiebolag,2020,-114000.0,4.0,1.0,3.0,1874578.26,2020.0,2024.0,951000.0,2157000.0,22.720582225569387,2021.0,2024.0,3.0,3.0,0.0,4306000.0,2157000.0,4.0,3.0,22.720582225569387,719000.0,10,10-33,C,MANUFACTURING,4.0,14.584229388978047,1.3862943611198906,13.4856180275228,4.0,0.25,0.0,14.443894797539732
ORG_03633,Company_03633,71122,Västra Götalands län,Startup,aktiebolag,2020,1745000.0,2.0,0.0,2.0,52774.97,2020.0,2024.0,3000.0,3404000.0,480.3861954861844,2021.0,2024.0,2.0,2.0,0.0,3523000.0,3404000.0,3.0,2.0,480.3861954861844,1702000.0,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",4.0,15.040462062447391,1.0986122886681098,14.34731517565935,4.0,0.0,14.372265686684402,10.873811252462346
ORG_03656,Company_03656,72110,Västerbottens län,Startup,aktiebolag,2021,142000.0,3.0,1.0,2.0,5060936.430000001,2021.0,2024.0,2775000.0,612000.0,-13.332707206208745,2021.0,2024.0,1.0,1.0,0.0,0.0,612000.0,1.0,1.0,-13.332707206208745,612000.0,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3.0,13.324489195480057,0.6931471805599453,13.324489195480057,3.0,0.3333333333333333,11.863589378812122,15.437062286950457
ORG_03657,Company_03657,62010,Stockholms län,Startup,aktiebolag,2021,,2.0,0.0,1.0,1084540.0,2021.0,2024.0,432000.0,10341000.0,188.19930584316845,2021.0,2024.0,2.0,4.0,25.99210498948732,8447000.0,10341000.0,6.0,4.0,162.20720085368112,2585250.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",3.0,16.151627230869554,1.6094379124341003,14.765333159856933,3.0,0.0,,13.896667413974754
ORG_03658,Company_03658,62010,Västra Götalands län,Startup,aktiebolag,2021,3537000.0,6.0,3.0,3.0,5204281.33,2021.0,2024.0,1360000.0,1534000.0,4.094747742664762,2021.0,2024.0,2.0,5.0,35.72088082974532,468000.0,1534000.0,4.0,5.0,-31.626133087080557,306800.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",3.0,14.243389912799609,1.791759469228055,12.633954607922337,3.0,0.5,15.078789750913051,15.464992369640997
ORG_03661,Company_03661,28290;95290,Västra Götalands län,Startup,aktiebolag,2021,5485000.0,2.0,2.0,0.0,485000.0,2021.0,2024.0,1497000.0,8106000.0,75.60151819323018,2021.0,2024.0,4.0,11.0,40.10196653276936,4793000.0,8106000.0,10.0,11.0,35.49955166046082,736909.0909090909,28,10-33,C,MANUFACTURING,3.0,15.908115209535792,2.4849066497880004,13.510221170390592,3.0,1.0,15.517527834006856,13.091906231773164
ORG_03663,Company_03663,62010,Skåne län,Startup,aktiebolag,2021,604000.0,2.0,1.0,1.0,300000.0,2021.0,2024.0,341000.0,1054000.0,45.66730228453515,2021.0,2024.0,1.0,1.0,0.0,2035000.0,1054000.0,1.0,1.0,45.66730228453515,1054000.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",3.0,13.868103956849598,0.6931471805599453,13.868103956849598,3.0,0.5,13.311331132544721,12.611541086966115
ORG_03667,Company_03667,62010,Västra Götalands län,Startup,aktiebolag,2021,2238000.0,3.0,3.0,0.0,175000.0,2021.0,2024.0,3000.0,734000.0,525.4485668722872,2021.0,2024.0,5.0,4.0,-7.168223327744416,416000.0,734000.0,7.0,4.0,532.6167902000316,183500.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",3.0,13.506265669993544,1.6094379124341003,12.119975396053194,3.0,1.0,14.621093614681433,12.07254696717504
ORG_03753,Company_03753,78100,Stockholms län,Startup,aktiebolag,2021,24567000.0,4.0,0.0,4.0,300000.0,2021.0,2024.0,1727000.0,28990000.0,156.04637162715855,2021.0,2024.0,12.0,38.0,46.84780191517228,29469000.0,28990000.0,52.0,38.0,109.19856971198627,762894.7368421053,78,77-82,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3.0,17.18246153539249,3.6635616461296463,13.544876651967419,3.0,0.0,17.016914677625444,12.611541086966115
ORG_03762,Company_03762,71122,Dalarnas län,Startup,aktiebolag,2021,1141000.0,1.0,0.0,1.0,100000.0,2021.0,2024.0,1651000.0,1708000.0,1.1378221905651076,2021.0,2024.0,1.0,2.0,25.99210498948732,2472000.0,1708000.0,2.0,2.0,-24.854282798922213,854000.0,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3.0,14.350834238810574,1.0986122886681098,13.657687643730208,3.0,0.0,13.947416505268018,11.51293546492023
ORG_03801,Company_03801,58290,Stockholms län,Startup,aktiebolag,2021,4284000.0,4.0,0.0,4.0,1560000.0,2021.0,2024.0,718000.0,309000.0,-13.332707206208745,2021.0,2024.0,1.0,3.0,44.22495703074083,378000.0,309000.0,3.0,3.0,-57.55766423694958,103000.0,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",3.0,12.6410997921206,1.3862943611198906,11.542493975902508,3.0,0.0,15.270397943976453,14.260197020251155
ORG_03810,Company_03810,28990,Västra Götalands län,Startup,aktiebolag,2021,,3.0,1.0,1.0,10428663.68,2021.0,2024.0,375000.0,1636000.0,63.39948266982021,2021.0,2024.0,1.0,4.0,58.74010519681994,765000.0,1636000.0,2.0,4.0,4.659377473000269,409000.0,28,10-33,C,MANUFACTURING,3.0,14.307765407391587,1.6094379124341003,12.921472880009725,3.0,0.3333333333333333,,16.16006879193518
ORG_03833,Company_03833,77210,Västra Götalands län,Startup,aktiebolag,2021,2550000.0,4.0,0.0,4.0,700000.0,2021.0,2024.0,180000.0,4928000.0,201.3927015577893,2021.0,2024.0,2.0,4.0,25.99210498948732,5780000.0,4928000.0,4.0,4.0,175.40059656830198,1232000.0,77,77-82,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,3.0,15.41044398711755,1.6094379124341003,14.024150234763585,3.0,0.0,14.751604309291395,13.45883704259595
ORG_03840,Company_03840,26600,Västra Götalands län,Startup,aktiebolag,2021,,5.0,1.0,4.0,68218877.23,2021.0,2024.0,176000.0,501000.0,41.72344024842103,2021.0,2024.0,2.0,7.0,51.82944859378311,306000.0,501000.0,3.0,7.0,-10.106008345362085,71571.42857142857,26,10-33,C,MANUFACTURING,3.0,13.124363376072994,2.0794415416798357,11.178465202969969,3.0,0.2,,18.038231891401228
ORG_03871,Company_03871,70220,Hallands län,Startup,aktiebolag,2021,786000.0,2.0,0.0,2.0,450000.0,2021.0,2024.0,1649000.0,1335000.0,-6.799079143277121,2021.0,2024.0,2.0,2.0,0.0,1296000.0,1335000.0,3.0,2.0,-6.799079143277121,667500.0,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3.0,14.104442598879876,1.0986122886681098,13.41129616738276,3.0,0.0,13.574713343675166,13.017005083966255
