Org Number,Legal Name,SNI Code,Region,Classification,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,cagr_per_employee,turnover_per_employee_2024,scalability_ratio,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_03440,Company_03440,27900,Västerbottens län,Startup,2020.0,2024.0,1510000.0,1981000.0,7.0229411990859525,2021.0,2024.0,1.0,1.0,0.0,619000.0,1981000.0,1.0,1.0,7.0229411990859525,7.0229411990859525,1981000.0,,27,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_03443,Company_03443,46340,Skåne län,Startup,2020.0,2024.0,8000.0,1772000.0,285.7833079092098,2021.0,2024.0,3.0,2.0,-12.64195352637011,3439000.0,1772000.0,2.0,2.0,298.4252614355799,142.8916539546049,886000.0,-22.605945142345963,46,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_03449,Company_03449,47510,Stockholms län,Startup,2020.0,2024.0,133000.0,10982000.0,201.4445591650715,2020.0,2024.0,1.0,3.0,31.60740129524924,5545000.0,10982000.0,3.0,3.0,169.83715786982225,67.14818638835716,3660666.6666666665,6.373335070585182,47,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_03496,Company_03496,86909,Stockholms län,Startup,2020.0,2024.0,1328000.0,7789000.0,55.62196946451574,2020.0,2024.0,4.0,10.0,25.743342968293547,3204000.0,7789000.0,5.0,10.0,29.878626496222196,5.562196946451574,778900.0,2.160635063325762,86,86-88,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,86-88 R - HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
ORG_03519,Company_03519,81221,Västmanlands län,Startup,2020.0,2024.0,174000.0,6379000.0,146.06556313818353,2020.0,2024.0,1.0,5.0,49.53487812212205,5068000.0,6379000.0,4.0,5.0,96.53068501606148,29.213112627636708,1275800.0,2.9487417487548298,81,77-82,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,77-82 O - ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
ORG_03522,Company_03522,70220,Gävleborgs län,Startup,2021.0,2024.0,701000.0,1224000.0,20.41699908641963,2021.0,2024.0,1.0,1.0,0.0,943000.0,1224000.0,1.0,1.0,20.41699908641963,20.41699908641963,1224000.0,,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03527,Company_03527,72190,Västra Götalands län,Startup,2021.0,2024.0,298000.0,1089000.0,54.029488029915896,2021.0,2024.0,2.0,2.0,0.0,3585000.0,1089000.0,2.0,2.0,54.029488029915896,27.014744014957948,544500.0,,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03530,Company_03530,4671,Stockholms län,Startup,2020.0,2024.0,15000.0,10068000.0,408.99437976797,2021.0,2024.0,2.0,14.0,91.29311827723889,10496000.0,10068000.0,11.0,14.0,317.7012614907311,29.213884269140713,719142.8571428572,4.480013252761682,46,46-47,G,WHOLESALE AND RETAIL TRADE,46-47 G - WHOLESALE AND RETAIL TRADE
ORG_03553,Company_03553,62010,Uppsala län,Startup,2021.0,2024.0,25000.0,9045000.0,612.5623214184762,2021.0,2024.0,1.0,10.0,115.44346900318838,3794000.0,9045000.0,7.0,10.0,497.11885241528785,61.256232141847626,904500.0,5.306166963863137,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03563,Company_03563,58210,Blekinge län,Startup,2020.0,2024.0,24000.0,1954000.0,200.38506047670617,2021.0,2024.0,1.0,5.0,70.99759466766969,1871000.0,1954000.0,5.0,5.0,129.38746580903648,40.07701209534123,390800.0,2.8224204131799397,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","58-60 J - PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
